TotalWeeklySales,Date
3818686.5,2010-12-24
3676389,2011-12-23
3004702.25,2011-11-25
2939946.5,2010-11-26
2819193.25,2010-12-17
2771397.25,2011-12-16
2752122,2010-12-10
2623470,2010-02-05
2565260,2012-04-06
2546123.75,2011-12-09
2495630.5,2010-04-02
2462978.25,2012-02-10
2427640.25,2012-02-17
2416051.25,2010-12-03
2370116.5,2010-05-07
2363601.5,2010-06-04
2358055.25,2012-07-06
2351143,2011-02-04
2334788.5,2010-07-02
2316495.5,2011-02-18
2313861.75,2011-04-22
2298776.75,2011-12-02
2284106.5,2011-11-04
2283540.25,2012-08-17
2273470.5,2011-08-26
2269975.75,2011-11-11
2258781.25,2010-04-09
2249570,2010-06-11
2248645.5,2010-06-18
2246412,2012-10-05
2246180,2010-06-25
2245257.25,2012-06-08
2243946.5,2011-11-18
2237544.75,2010-03-05
2236209.25,2010-07-09
2234191,2012-06-15
2232892,2011-08-19
2227152.25,2010-05-28
2226662.25,2012-02-24
2219813.5,2010-08-06
2214967.5,2012-03-16
2211388.25,2011-02-11
2207742.25,2011-10-21
2207214.75,2012-05-18
2206320,2012-03-02
2204556.75,2010-02-19
2203523.25,2012-02-03
2202743,2011-09-09
2202450.75,2012-03-09
2197299.75,2012-06-22
2196968.25,2012-05-04
2193367.75,2012-08-10
2191767.75,2010-09-10
2189353.75,2011-08-05
2188307.5,2010-02-12
2187765.25,2010-11-12
2184316.75,2010-11-05
2182563.75,2010-09-03
2182246.75,2011-06-03
2179361,2012-06-01
2175563.75,2012-07-20
2174514.25,2012-08-03
2168097,2012-05-11
2166737.75,2011-10-07
2165796.25,2012-09-07
2162951.25,2012-10-12
2156035,2010-03-12
2154137.75,2012-05-25
2151659.5,2011-10-28
2149594.5,2012-10-26
2144337,2012-04-20
2143424.5,2011-03-04
2141766,2011-09-02
2141210.5,2011-06-17
2138145,2010-04-23
2135062,2011-06-10
2134680,2012-07-13
2130287.25,2010-07-16
2129771.25,2010-05-14
2128363,2012-06-29
2125241.75,2012-08-24
2123787.75,2011-07-08
2121788.5,2010-04-16
2119438.5,2012-09-21
2117854.5,2012-09-14
2116475.5,2011-03-18
2108187,2010-05-21
2105668.75,2011-08-12
2105301.5,2012-04-13
2105059,2010-11-19
2097266.75,2012-10-19
2095599.875,2011-05-06
2095591.625,2010-02-26
2091663.25,2010-10-08
2091592.5,2012-03-23
2089381.75,2012-03-30
2082355.125,2010-04-30
2081181.375,2012-08-31
2080694.25,2011-05-27
2078094.75,2011-02-25
2075577.375,2011-09-16
2074953.5,2011-04-08
2074668.25,2011-07-01
2074548.875,2011-10-14
2071022.5,2010-08-13
2069523.5,2011-06-24
2066219.25,2010-03-19
2064065.625,2012-04-27
2057406.375,2011-04-15
2057138.25,2010-08-20
2054843.25,2010-07-30
2050396.25,2010-03-26
2049047,2011-07-15
2048613.625,2012-07-27
2047766.125,2012-01-06
2044155.375,2010-07-23
2043245,2011-12-30
2039818.375,2011-03-11
2036748.5,2011-05-13
2036231.375,2011-07-22
2031406.375,2011-09-23
2027620.25,2012-09-28
2020332.125,2010-08-27
2015563.5,2011-05-20
2005097.75,2012-01-20
1989674.125,2011-07-29
1984768.375,2010-10-29
1953539.875,2010-09-17
1950676.375,2010-10-15
1945808.25,2011-09-30
1944164.375,2011-03-25
1941676.625,2012-01-13
1936621.125,2010-10-22
1933719.25,2010-10-01
1930617.625,2011-04-29
1928720.5,2012-01-27
1927993.125,2011-04-01
1886394,2011-01-21
1884345,2011-01-14
1879891.125,2010-09-24
1864746.125,2011-01-07
1814240.875,2011-01-28
1799737.75,2010-12-31
